model,hash
['CNN_mnist'],641a66349a54d90a3dae590bebea96506e2da70cef52d8572097a035292d0e31
"[""HQCNN_mnist_['none', 'none', 'none']""]",6a3a09021271421cf2f452e4219a950341704d4d92a24cfac4a51b4956ec4897
