Donor_ID,Recipient_ID,attack_type,TSR,acc_drop
a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,fgsm,0.0,-1.0
934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,fgsm,0.0,0.0
a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,pgd,0.0,-1.0
934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,pgd,0.0,0.0
a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,cw,0.0,0.0
934c24564b6ecf50460e694c7c6482ff79cc2b73f1ae0808a6b7dc20a9649fb5,a7cc27864d226cb003d1eb43c2292dc718eabad213f82fdf330f8dd26fd8139b,cw,0.0,0.0
808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,fgsm,0.0,0.0
dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,fgsm,0.0,-1.0
808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,pgd,0.0,0.0
dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,pgd,0.0,-1.0
808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,cw,0.0,0.0
dbd630bf7bcc593099ae7b582016b4245ccf8403621b092e23c48b78649ca020,808f4e0188e7f5b825ef4ebcad220e8830b7cdf9d14ff3b0beece9d0fb838cae,cw,0.0,0.0
