CNN_ID,attack_type,acc,precision,f1,auc-roc,pert_type,pert_size
774bde0e4c93d5eda84e78aef9d0376e34178fce597948213902dfa762f1a026,fgsm,0.748,0.7506319539387158,0.7479651019905447,0.9743306219606239,min,0.10003162920475006
774bde0e4c93d5eda84e78aef9d0376e34178fce597948213902dfa762f1a026,pgd,0.709,0.7105815978889883,0.7082061824260104,0.9635837513393509,mean,0.2252376675605774
50bfe5d9966ad006c48aad9d164ba90ad0e50c4b56130b2b40cd76ef65574ec0,clean,0.916,0.9170344822413596,0.9161869294891811,0.9932190349117177,none,0.0
50bfe5d9966ad006c48aad9d164ba90ad0e50c4b56130b2b40cd76ef65574ec0,fgsm,0.763,0.7661157083566418,0.763171121065756,0.9725957156986289,min,0.10003060847520828
50bfe5d9966ad006c48aad9d164ba90ad0e50c4b56130b2b40cd76ef65574ec0,pgd,0.703,0.7074715418081783,0.7024382916398667,0.9620333271132282,mean,0.22534310817718506
dbdea9c5e03787f10511f2456271433e6e18e1616ec2368e8042dd73d5233b1c,clean,0.903,0.9036267069561056,0.9029823199321877,0.9937903683707576,none,0.0
dbdea9c5e03787f10511f2456271433e6e18e1616ec2368e8042dd73d5233b1c,fgsm,0.783,0.7870129830793918,0.783888252492399,0.976459755318953,min,0.10003239661455154
dbdea9c5e03787f10511f2456271433e6e18e1616ec2368e8042dd73d5233b1c,pgd,0.72,0.7241608776215316,0.7207907976404697,0.9638519698135665,mean,0.2226121425628662
a5853371c4538433d061141d0dcdb476f185d0f289de2b559253c1ecff00dd87,clean,0.922,0.9237830813685737,0.9225971566687968,0.9950677456562216,none,0.0
a5853371c4538433d061141d0dcdb476f185d0f289de2b559253c1ecff00dd87,fgsm,0.767,0.77260557901636,0.7689229626518411,0.9728072571768127,min,0.10003137588500977
a5853371c4538433d061141d0dcdb476f185d0f289de2b559253c1ecff00dd87,pgd,0.692,0.6979042512379695,0.6938532625255522,0.9597436181724186,mean,0.22495657205581665
ae401fd13a8b5e05159782af78854dae96c017115e2cd6f1326a1f4dda7fb787,clean,0.916,0.917499938809407,0.9162293757852988,0.9944588078696115,none,0.0
ae401fd13a8b5e05159782af78854dae96c017115e2cd6f1326a1f4dda7fb787,fgsm,0.768,0.7688934338808776,0.7666820941992772,0.9771121458950766,min,0.10003139078617096
ae401fd13a8b5e05159782af78854dae96c017115e2cd6f1326a1f4dda7fb787,pgd,0.709,0.711470485609448,0.7075026570853507,0.9668923082223407,mean,0.22685445845127106
38d6e79744ee319ec34da41d4222c47966e12baf1f5b232e4efcee73a37378d8,clean,0.912,0.9136860406408998,0.912052357319322,0.994652566927199,none,0.0
38d6e79744ee319ec34da41d4222c47966e12baf1f5b232e4efcee73a37378d8,fgsm,0.801,0.8072193608073097,0.8029676759009957,0.9798694489799868,min,0.10003197193145752
38d6e79744ee319ec34da41d4222c47966e12baf1f5b232e4efcee73a37378d8,pgd,0.75,0.755437220852875,0.7516361898995977,0.9724758488337685,mean,0.22902050614356995
91d9d531f05cd0b838f2385ffc79a05656f8dee85984c5ebda1d39bb392b8d7e,clean,0.919,0.9188576163339324,0.9185895778914634,0.9934998102483321,none,0.0
91d9d531f05cd0b838f2385ffc79a05656f8dee85984c5ebda1d39bb392b8d7e,fgsm,0.763,0.7642148867533545,0.7626658692859024,0.9721140889130548,min,0.10003301501274109
91d9d531f05cd0b838f2385ffc79a05656f8dee85984c5ebda1d39bb392b8d7e,pgd,0.703,0.7014392674161503,0.701141935465394,0.9596003133858984,mean,0.2268725335597992
379b49e2623485ab954772052907fc4772019ebdc902eac6f697e1a37e5c0d5c,clean,0.915,0.9175095240341942,0.9155187091816642,0.9943592808367084,none,0.0
